Item,Category,Stock,Daily_Sales,Reorder_Level,Lead_Time_Days
"Boston School Pro Electric Pencil Sharpener, 1670",General,48.0,4.571428571428571,16.0,5
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,General,22.5,5.0,7.5,6
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",General,43.5,5.8,14.5,3
Bretford CR4500 Series Slim Rectangular Table,General,43.5,3.625,14.5,3
Bretford CR8500 Series Meeting Room Furniture,General,31.5,3.5,10.5,5
Bretford Rectangular Conference Table Tops,General,69.0,3.8333333333333335,23.0,6
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,General,25.5,4.25,8.5,3
"Brites Rubber Bands, 1 1/2 oz. Box",General,10.5,2.3333333333333335,3.5,6
Brother DCP1000 Digital 3 in 1 Multifunction Machine,General,28.5,2.7142857142857144,9.5,3
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",General,4.5,3.0,1.5,3
Brown Kraft Recycled Envelopes,General,22.5,3.0,7.5,4
Bulldog Table or Wall-Mount Pencil Sharpener,General,19.5,4.333333333333333,6.5,6
Bulldog Vacuum Base Pencil Sharpener,General,46.5,5.166666666666667,15.5,7
Bush Advantage Collection Racetrack Conference Table,General,49.5,4.714285714285714,16.5,3
Bush Advantage Collection Round Conference Table,General,28.5,4.75,9.5,5
"Bush Andora Bookcase, Maple/Graphite Gray Finish",General,51.0,3.7777777777777777,17.0,5
"Bush Andora Conference Table, Maple/Graphite Gray Finish",General,18.0,3.0,6.0,4
"Bush Birmingham Collection Bookcase, Dark Cherry",General,13.5,9.0,4.5,6
"Bush Cubix Collection Bookcases, Fully Assembled",General,6.0,1.3333333333333333,2.0,7
"Bush Cubix Conference Tables, Fully Assembled",General,28.5,4.75,9.5,3
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",General,51.0,4.25,17.0,6
Bush Mission Pointe Library,General,9.0,2.0,3.0,4
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",General,1.5,1.0,0.5,4
Bush Somerset Collection Bookcase,General,18.0,3.0,6.0,5
"Bush Westfield Collection Bookcases, Dark Cherry Finish",General,21.0,4.666666666666667,7.0,6
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",General,4.5,3.0,1.5,6
"Bush Westfield Collection Bookcases, Fully Assembled",General,27.0,3.0,9.0,5
"Bush Westfield Collection Bookcases, Medium Cherry Finish",General,48.0,3.5555555555555554,16.0,4
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,General,46.5,3.875,15.5,6
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",General,19.5,3.25,6.5,6
"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",General,42.0,4.0,14.0,6
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",General,31.5,5.25,10.5,4
Cameo Buff Policy Envelopes,General,42.0,3.5,14.0,7
"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",General,4.5,3.0,1.5,3
Canon Image Class D660 Copier,General,10.5,3.5,3.5,3
Canon Imageclass D680 Copier / Fax,General,24.0,3.2,8.0,6
Canon PC-428 Personal Copier,General,37.5,4.166666666666667,12.5,3
Canon PC1060 Personal Laser Copier,General,28.5,4.75,9.5,5
Canon PC1080F Personal Copier,General,16.5,2.75,5.5,6
Canon PC170 Desktop Personal Copier,General,9.0,3.0,3.0,7
Canon PC940 Copier,General,22.5,5.0,7.5,7
Canon imageCLASS 2200 Advanced Copier,General,30.0,4.0,10.0,4
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,General,3.0,2.0,1.0,7
Canvas Sectional Post Binders,General,42.0,4.666666666666667,14.0,7
Cardinal EasyOpen D-Ring Binders,General,60.0,5.0,20.0,7
"Cardinal HOLDit! Binder Insert Strips,Extra Strips",General,61.5,4.555555555555555,20.5,5
Cardinal Hold-It CD Pocket,General,18.0,3.0,6.0,4
Cardinal Holdit Business Card Pockets,General,37.5,3.125,12.5,6
Cardinal Holdit Data Disk Pockets,General,24.0,5.333333333333333,8.0,3
Cardinal Poly Pocket Divider Pockets for Ring Binders,General,22.5,3.75,7.5,3
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",General,55.5,3.7,18.5,5
Cardinal Slant-D Ring Binders,General,25.5,3.4,8.5,7
"Career Cubicle Clock, 8 1/4"", Black",General,15.0,3.3333333333333335,5.0,6
"Carina 42""Hx23 3/4""W Media Storage Unit",General,33.0,2.75,11.0,5
Carina Double Wide Media Storage Towers in Natural & Black,General,58.5,3.25,19.5,3
Carina Media Storage Towers in Natural & Black,General,30.0,4.0,10.0,3
"Carina Mini System Audio Rack, Model AR050B",General,39.0,4.333333333333333,13.0,6
Case Logic 2.4GHz Wireless Keyboard,General,40.5,3.375,13.5,3
Catalog Binders with Expanding Posts,General,54.0,4.5,18.0,5
Cherry 142-key Programmable Keyboard,General,6.0,4.0,2.0,5
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",General,33.0,3.6666666666666665,11.0,6
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",General,16.5,1.8333333333333333,5.5,6
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,General,40.5,5.4,13.5,5
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",General,27.0,3.0,9.0,4
Chromcraft Rectangular Conference Tables,General,45.0,3.3333333333333335,15.0,6
Chromcraft Round Conference Tables,General,91.5,4.6923076923076925,30.5,7
Cisco 8961 IP Phone Charcoal,General,4.5,3.0,1.5,5
Cisco 8x8 Inc. 6753i IP Business Phone System,General,39.0,4.333333333333333,13.0,5
Cisco 9971 IP Video Phone Charcoal,General,24.0,8.0,8.0,6
Cisco CP-7937G Unified IP Conference Station Phone,General,6.0,2.0,2.0,5
Cisco Desktop Collaboration Experience DX650 IP Video Phone,General,7.5,5.0,2.5,7
Cisco IP Phone 7961G-GE VoIP phone,General,22.5,3.75,7.5,6
Cisco IP Phone 7961G VoIP phone - Dark gray,General,18.0,4.0,6.0,7
Cisco SPA 501G IP Phone,General,4.5,3.0,1.5,7
Cisco SPA 502G IP Phone,General,31.5,4.2,10.5,6
Cisco SPA112 2 Port Phone Adapter,General,16.5,3.6666666666666665,5.5,3
Cisco SPA301,General,45.0,3.3333333333333335,15.0,7
Cisco SPA508G,General,22.5,3.0,7.5,5
Cisco SPA525G2 5-Line IP Phone,General,12.0,8.0,4.0,6
Cisco SPA525G2 IP Phone - Wireless,General,39.0,5.2,13.0,5
Cisco Small Business SPA 502G VoIP phone,General,16.5,2.75,5.5,5
Cisco TelePresence System EX90 Videoconferencing Unit,General,9.0,6.0,3.0,3
Cisco Unified IP Phone 7945G VoIP phone,General,39.0,4.333333333333333,13.0,5
Clarity 53712,General,21.0,3.5,7.0,3
Classic Ivory Antique Telephone ZL1810,General,6.0,2.0,2.0,4
Clear Mylar Reinforcing Strips,General,43.5,4.142857142857143,14.5,4
ClearOne CHATAttach 160 - speaker phone,General,19.5,3.25,6.5,4
ClearOne Communications CHAT 70 OC Speaker Phone,General,18.0,3.0,6.0,5
ClearSounds CSC500 Amplified Spirit Phone Corded phone,General,28.5,3.1666666666666665,9.5,6
Clearsounds A400,General,16.5,3.6666666666666665,5.5,4
Col-Erase Pencils with Erasers,General,10.5,3.5,3.5,4
Color-Coded Legal Exhibit Labels,General,4.5,1.5,1.5,5
Colored Envelopes,General,24.0,3.2,8.0,5
Colored Push Pins,General,22.5,3.0,7.5,7
Coloredge Poster Frame,General,31.5,3.5,10.5,3
Colorific Watercolor Pencils,General,16.5,3.6666666666666665,5.5,6
"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",General,25.5,2.4285714285714284,8.5,3
Compact Automatic Electric Letter Opener,General,39.0,3.25,13.0,7
"Companion Letter/Legal File, Black",General,25.5,3.4,8.5,7
Computer Printout Index Tabs,General,22.5,3.75,7.5,5
Computer Printout Paper with Letter-Trim Fine Perforations,General,6.0,4.0,2.0,3
Computer Printout Paper with Letter-Trim Perforations,General,36.0,3.4285714285714284,12.0,4
"Computer Room Manger, 14""",General,33.0,3.142857142857143,11.0,6
"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",General,18.0,3.0,6.0,4
Contemporary Borderless Frame,General,9.0,3.0,3.0,3
Contemporary Wood/Metal Frame,General,27.0,4.5,9.0,7
"Contico 72""H Heavy-Duty Storage System",General,24.0,3.2,8.0,5
"Contract Clock, 14"", Brown",General,31.5,4.2,10.5,3
Convenience Packs of Business Envelopes,General,27.0,3.0,9.0,6
Crate-A-Files,General,27.0,2.5714285714285716,9.0,3
"Crayola Anti Dust Chalk, 12/Pack",General,52.5,5.0,17.5,6
Crayola Colored Pencils,General,60.0,3.6363636363636362,20.0,6
Cubify CubeX 3D Printer Double Head Print,General,13.5,3.0,4.5,6
Cubify CubeX 3D Printer Triple Head Print,General,6.0,4.0,2.0,5
Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,General,25.5,2.8333333333333335,8.5,7
Cyber Acoustics AC-202b Speech Recognition Stereo Headset,General,16.5,2.2,5.5,6
DAX Black Cherry Wood-Tone Poster Frame,General,36.0,3.0,12.0,7
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",General,34.5,3.2857142857142856,11.5,4
DAX Clear Channel Poster Frame,General,15.0,3.3333333333333335,5.0,6
"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",General,22.5,3.0,7.5,5
"DAX Copper Panel Document Frame, 5 x 7 Size",General,27.0,3.6,9.0,4
DAX Cubicle Frames - 8x10,General,39.0,5.2,13.0,7
"DAX Cubicle Frames, 8-1/2 x 11",General,25.5,4.25,8.5,4
"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",General,25.5,3.4,8.5,3
"DAX Metal Frame, Desktop, Stepped-Edge",General,16.5,2.2,5.5,6
DAX Natural Wood-Tone Poster Frame,General,34.5,4.6,11.5,3
DAX Solid Wood Frames,General,19.5,4.333333333333333,6.5,7
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",General,37.5,3.125,12.5,5
DAX Two-Tone Silver Metal Document Frame,General,19.5,2.1666666666666665,6.5,4
"DAX Value U-Channel Document Frames, Easel Back",General,54.0,3.6,18.0,7
DAX Wood Document Frame,General,60.0,4.444444444444445,20.0,6
DAX Wood Document Frame.,General,24.0,4.0,8.0,6
DIXON Oriole Pencils,General,28.5,3.1666666666666665,9.5,5
DIXON Ticonderoga Erasable Checking Pencils,General,30.0,2.857142857142857,10.0,4
DMI Arturo Collection Mission-style Design Wood Chair,General,55.5,3.3636363636363638,18.5,3
DMI Eclipse Executive Suite Bookcases,General,40.5,4.5,13.5,6
DXL Angle-View Binders with Locking Rings by Samsill,General,52.5,3.5,17.5,3
"DXL Angle-View Binders with Locking Rings, Black",General,39.0,6.5,13.0,6
DYMO CardScan Personal V9 Business Card Scanner,General,16.5,3.6666666666666665,5.5,6
"Dana Fluorescent Magnifying Lamp, White, 36""",General,21.0,3.5,7.0,5
Dana Halogen Swing-Arm Architect Lamp,General,42.0,4.666666666666667,14.0,3
Dana Swing-Arm Lamps,General,22.5,2.142857142857143,7.5,7
"DataProducts Ampli Magnifier Task Lamp, Black,",General,31.5,4.2,10.5,4
Dax Clear Box Frame,General,21.0,2.3333333333333335,7.0,3
Decoflex Hanging Personal Folder File,General,4.5,3.0,1.5,3
"Decoflex Hanging Personal Folder File, Blue",General,52.5,3.888888888888889,17.5,4
Deflect-O Glasstique Clear Desk Accessories,General,25.5,5.666666666666667,8.5,4
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,General,27.0,3.6,9.0,3
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",General,25.5,2.8333333333333335,8.5,6
"Deflect-o EconoMat Nonstudded, No Bevel Mat",General,21.0,4.666666666666667,7.0,5
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",General,49.5,3.6666666666666665,16.5,5
Deflect-o Glass Clear Studded Chair Mats,General,39.0,3.7142857142857144,13.0,6
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",General,39.0,4.333333333333333,13.0,6
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",General,27.0,4.5,9.0,7
Dell Slim USB Multimedia Keyboard,General,7.5,2.5,2.5,7
Deluxe Chalkboard Eraser Cleaner,General,25.5,3.4,8.5,5
Deluxe Heavy-Duty Vinyl Round Ring Binder,General,49.5,4.714285714285714,16.5,5
Deluxe Rollaway Locking File with Drawer,General,21.0,2.8,7.0,4
Design Ebony Sketching Pencil,General,16.5,3.6666666666666665,5.5,4
Desktop 3-Pocket Hot File,General,7.5,2.5,2.5,6
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,General,16.5,3.6666666666666665,5.5,3
Digium D40 VoIP phone,General,40.5,3.0,13.5,4
Disposable Triple-Filter Dust Bags,General,15.0,2.5,5.0,4
"Dixon My First Ticonderoga Pencil, #2",General,28.5,4.75,9.5,3
"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",General,40.5,3.857142857142857,13.5,7
Dixon Ticonderoga Core-Lock Colored Pencils,General,42.0,4.0,14.0,5
"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",General,19.5,6.5,6.5,3
"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",General,21.0,7.0,7.0,6
"Dixon Ticonderoga Maple Cedar Pencil, #2",General,12.0,2.6666666666666665,4.0,4
Dixon Ticonderoga Pencils,General,19.5,4.333333333333333,6.5,4
Document Clip Frames,General,9.0,3.0,3.0,6
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",General,54.0,4.5,18.0,4
"Dual Level, Single-Width Filing Carts",General,64.5,4.777777777777778,21.5,6
Durable Pressboard Binders,General,16.5,5.5,5.5,5
Easy-staple paper,General,225.0,3.260869565217391,75.0,7
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",General,31.5,2.1,10.5,7
"Eberhard Faber 3 1/2"" Golf Pencils",General,30.0,2.857142857142857,10.0,5
EcoTones Memo Sheets,General,22.5,5.0,7.5,5
Economy #2 Pencils,General,19.5,3.25,6.5,6
Economy Binders,General,28.5,4.75,9.5,3
Economy Rollaway Files,General,30.0,2.857142857142857,10.0,3
"Eldon ""L"" Workstation Diamond Chairmat",General,28.5,4.75,9.5,7
Eldon 100 Class Desk Accessories,General,27.0,4.5,9.0,3
Eldon 200 Class Desk Accessories,General,33.0,3.142857142857143,11.0,4
"Eldon 200 Class Desk Accessories, Black",General,18.0,6.0,6.0,3
"Eldon 200 Class Desk Accessories, Burgundy",General,37.5,5.0,12.5,3
"Eldon 200 Class Desk Accessories, Smoke",General,33.0,5.5,11.0,3
"Eldon 300 Class Desk Accessories, Black",General,9.0,3.0,3.0,5
"Eldon 400 Class Desk Accessories, Black Carbon",General,33.0,3.6666666666666665,11.0,4
Eldon 500 Class Desk Accessories,General,25.5,2.8333333333333335,8.5,3
Eldon Advantage Chair Mats for Low to Medium Pile Carpets,General,19.5,2.6,6.5,7
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,General,15.0,3.3333333333333335,5.0,7
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,General,21.0,3.5,7.0,6
"Eldon Base for stackable storage shelf, platinum",General,37.5,3.5714285714285716,12.5,3
Eldon Cleatmat Chair Mats for Medium Pile Carpets,General,12.0,2.0,4.0,7
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,General,30.0,4.0,10.0,5
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,General,27.0,3.6,9.0,4
"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",General,25.5,2.8333333333333335,8.5,4
Eldon Econocleat Chair Mats for Low Pile Carpets,General,12.0,4.0,4.0,4
Eldon Executive Woodline II Cherry Finish Desk Accessories,General,9.0,3.0,3.0,3
"Eldon Executive Woodline II Desk Accessories, Mahogany",General,25.5,3.4,8.5,7
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",General,22.5,3.75,7.5,4
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",General,30.0,3.3333333333333335,10.0,6
Eldon Expressions Mahogany Wood Desk Collection,General,22.5,7.5,7.5,4
"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",General,30.0,4.0,10.0,3
"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",General,19.5,4.333333333333333,6.5,4
"Eldon Expressions Wood Desk Accessories, Oak",General,49.5,2.75,16.5,3
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",General,34.5,4.6,11.5,3
"Eldon Expressions Wood and Plastic Desk Accessories, Oak",General,22.5,3.0,7.5,5
Eldon File Chest Portable File,General,7.5,5.0,2.5,4
Eldon Fold 'N Roll Cart System,General,36.0,4.8,12.0,6
Eldon Gobal File Keepers,General,36.0,4.0,12.0,6
Eldon Image Series Black Desk Accessories,General,18.0,2.4,6.0,7
"Eldon Image Series Desk Accessories, Burgundy",General,46.5,3.875,15.5,4
"Eldon Image Series Desk Accessories, Ebony",General,27.0,3.6,9.0,3
"Eldon Imàge Series Desk Accessories, Clear",General,25.5,5.666666666666667,8.5,4
Eldon Jumbo ProFile Portable File Boxes Graphite/Black,General,4.5,3.0,1.5,6
Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,General,45.0,5.0,15.0,4
Eldon Pizzaz Desk Accessories,General,28.5,4.75,9.5,7
Eldon Portable Mobile Manager,General,51.0,3.7777777777777777,17.0,3
Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,General,52.5,5.0,17.5,5
Eldon Radial Chair Mat for Low to Medium Pile Carpets,General,30.0,3.3333333333333335,10.0,4
"Eldon Regeneration Recycled Desk Accessories, Black",General,13.5,3.0,4.5,4
"Eldon Regeneration Recycled Desk Accessories, Smoke",General,31.5,4.2,10.5,3
Eldon Shelf Savers Cubes and Bins,General,67.5,5.625,22.5,7
Eldon Simplefile Box Office,General,45.0,3.75,15.0,3
"Eldon Spacemaker Box, Quick-Snap Lid, Clear",General,27.0,3.0,9.0,5
"Eldon Stackable Tray, Side-Load, Legal, Smoke",General,25.5,3.4,8.5,6
Eldon Wave Desk Accessories,General,91.5,4.357142857142857,30.5,4
Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,General,19.5,2.6,6.5,4
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",General,49.5,6.6,16.5,7
Electrix Fluorescent Magnifier Lamps & Weighted Base,General,16.5,5.5,5.5,7
Electrix Halogen Magnifier Lamp,General,25.5,2.8333333333333335,8.5,3
"Electrix Incandescent Magnifying Lamp, Black",General,7.5,2.5,2.5,5
"Elite 5"" Scissors",General,36.0,3.4285714285714284,12.0,4
Embossed Ink Jet Note Cards,General,22.5,3.75,7.5,5
Enermax Acrylux Wireless Keyboard,General,43.5,4.833333333333333,14.5,6
Enermax Aurora Lite Keyboard,General,31.5,4.2,10.5,7
Enermax Briskie RF Wireless Keyboard and Mouse Combo,General,36.0,4.8,12.0,5
Epson Perfection V600 Photo Scanner,General,4.5,3.0,1.5,5
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,General,15.0,5.0,5.0,4
"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",General,6.0,2.0,2.0,3
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,General,3.0,2.0,1.0,3
"Eureka Hand Vacuum, Bagless",General,6.0,4.0,2.0,4
"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",General,28.5,3.1666666666666665,9.5,4
Eureka Sanitaire  Commercial Upright,General,18.0,4.0,6.0,5
"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",General,33.0,4.4,11.0,5
Eureka The Boss Cordless Rechargeable Stick Vac,General,28.5,3.1666666666666665,9.5,7
"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",General,19.5,3.25,6.5,4
"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",General,30.0,3.3333333333333335,10.0,7
Euro Pro Shark Stick Mini Vacuum,General,16.5,3.6666666666666665,5.5,5
Euro-Pro Shark Turbo Vacuum,General,36.0,4.0,12.0,3
"Executive Impressions 10"" Spectator Wall Clock",General,33.0,4.4,11.0,4
"Executive Impressions 12"" Wall Clock",General,21.0,2.3333333333333335,7.0,4
"Executive Impressions 13"" Chairman Wall Clock",General,16.5,3.6666666666666665,5.5,6
"Executive Impressions 13"" Clairmont Wall Clock",General,30.0,2.5,10.0,4
"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",General,4.5,1.5,1.5,6
"Executive Impressions 14""",General,25.5,4.25,8.5,6
"Executive Impressions 14"" Contract Wall Clock",General,25.5,2.4285714285714284,8.5,4
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",General,12.0,4.0,4.0,5
"Executive Impressions 14"" Two-Color Numerals Wall Clock",General,24.0,2.6666666666666665,8.0,5
"Executive Impressions 16-1/2"" Circular Wall Clock",General,6.0,2.0,2.0,3
"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",General,10.5,3.5,3.5,6
Executive Impressions Supervisor Wall Clock,General,31.5,5.25,10.5,3
Faber Castell Col-Erase Pencils,General,12.0,1.6,4.0,7
Fashion Color Clasp Envelopes,General,22.5,5.0,7.5,7
Fellowes 8 Outlet Superior Workstation Surge Protector,General,30.0,4.0,10.0,3
Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,General,37.5,5.0,12.5,4
Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,General,15.0,3.3333333333333335,5.0,3
Fellowes Advanced Computer Series Surge Protectors,General,22.5,2.5,7.5,7
Fellowes Bankers Box Recycled Super Stor/Drawer,General,36.0,3.4285714285714284,12.0,4
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,General,64.5,5.375,21.5,5
Fellowes Bankers Box Stor/Drawer Steel Plus,General,75.0,4.166666666666667,25.0,4
Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,General,39.0,2.6,13.0,4
Fellowes Basic Home/Office Series Surge Protectors,General,61.5,4.555555555555555,20.5,3
Fellowes Binding Cases,General,46.5,6.2,15.5,6
Fellowes Black Plastic Comb Bindings,General,51.0,3.7777777777777777,17.0,3
Fellowes Command Center 5-outlet power strip,General,22.5,3.75,7.5,6
Fellowes Desktop Hanging File Manager,General,22.5,3.75,7.5,5
Fellowes Econo/Stor Drawers,General,10.5,3.5,3.5,3
Fellowes High-Stak Drawer Files,General,39.0,3.25,13.0,7
Fellowes Mighty 8 Compact Surge Protector,General,28.5,3.1666666666666665,9.5,4
"Fellowes Mobile File Cart, Black",General,60.0,4.0,20.0,6
Fellowes Neat Ideas Storage Cubes,General,24.0,2.2857142857142856,8.0,6
Fellowes Officeware Wire Shelving,General,82.5,5.0,27.5,7
Fellowes PB200 Plastic Comb Binding Machine,General,57.0,4.222222222222222,19.0,4
Fellowes PB300 Plastic Comb Binding Machine,General,40.5,4.5,13.5,7
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,General,46.5,3.1,15.5,3
"Fellowes Personal Hanging Folder Files, Navy",General,36.0,6.0,12.0,5
Fellowes Powershred HS-440 4-Sheet High Security Shredder,General,25.5,5.666666666666667,8.5,6
"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",General,31.5,3.0,10.5,3
Fellowes Presentation Covers for Comb Binding Machines,General,21.0,7.0,7.0,6
Fellowes Recycled Storage Drawers,General,18.0,4.0,6.0,5
"Fellowes Smart Surge Ten-Outlet Protector, Platinum",General,4.5,3.0,1.5,5
Fellowes Staxonsteel Drawer Files,General,39.0,3.7142857142857144,13.0,3
Fellowes Stor/Drawer Steel Plus Storage Drawers,General,55.5,4.625,18.5,3
"Fellowes Strictly Business Drawer File, Letter/Legal Size",General,49.5,4.714285714285714,16.5,7
Fellowes Super Stor/Drawer,General,27.0,4.5,9.0,6
Fellowes Super Stor/Drawer Files,General,40.5,3.0,13.5,5
Fellowes Superior 10 Outlet Split Surge Protector,General,45.0,3.3333333333333335,15.0,4
"Fellowes Twister Kit, Gray/Clear, 3/pkg",General,63.0,4.2,21.0,5
File Shuttle I and Handi-File,General,19.5,4.333333333333333,6.5,3
"File Shuttle II and Handi-File, Black",General,51.0,4.857142857142857,17.0,4
First Data FD10 PIN Pad,General,36.0,4.8,12.0,4
First Data TMFD35 PIN Pad,General,6.0,2.0,2.0,4
"Fiskars 8"" Scissors, 2/Pack",General,21.0,3.5,7.0,4
Fiskars Home & Office Scissors,General,16.5,3.6666666666666665,5.5,4
Fiskars Softgrip Scissors,General,42.0,4.0,14.0,4
Fiskars Spring-Action Scissors,General,9.0,1.5,3.0,5
Flat Face Poster Frame,General,76.5,4.25,25.5,7
Flexible Leather- Look Classic Collection Ring Binder,General,19.5,2.1666666666666665,6.5,3
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",General,36.0,4.0,12.0,4
Fluorescent Highlighters by Dixon,General,39.0,5.2,13.0,6
G.E. Halogen Desk Lamp Bulbs,General,16.5,2.2,5.5,5
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,General,24.0,2.6666666666666665,8.0,3
GBC Binding covers,General,16.5,3.6666666666666665,5.5,7
"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",General,22.5,3.75,7.5,3
GBC DocuBind 200 Manual Binding Machine,General,22.5,3.75,7.5,6
GBC DocuBind 300 Electric Binding Machine,General,34.5,2.875,11.5,7
GBC DocuBind P100 Manual Binding Machine,General,40.5,3.375,13.5,5
GBC DocuBind P400 Electric Binding System,General,40.5,4.5,13.5,4
GBC DocuBind P50 Personal Binding Machine,General,75.0,5.0,25.0,3
GBC DocuBind TL200 Manual Binding Machine,General,34.5,3.8333333333333335,11.5,7
GBC DocuBind TL300 Electric Binding System,General,55.5,3.3636363636363638,18.5,7
GBC Durable Plastic Covers,General,51.0,4.25,17.0,5
GBC Ibimaster 500 Manual ProClick Binding System,General,72.0,5.333333333333333,24.0,6
GBC Imprintable Covers,General,54.0,4.5,18.0,3
GBC Instant Index System for Binding Systems,General,28.5,3.8,9.5,5
GBC Instant Report Kit,General,75.0,3.8461538461538463,25.0,4
"GBC Laser Imprintable Binding System Covers, Desert Sand",General,25.5,2.8333333333333335,8.5,6
GBC Linen Binding Covers,General,27.0,3.0,9.0,4
GBC Personal VeloBind Strips,General,40.5,3.857142857142857,13.5,6
GBC Plastic Binding Combs,General,45.0,3.0,15.0,3
GBC Plasticlear Binding Covers,General,34.5,3.2857142857142856,11.5,6
GBC Poly Designer Binding Covers,General,27.0,3.0,9.0,6
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",General,46.5,3.875,15.5,6
GBC Premium Transparent Covers with Diagonal Lined Pattern,General,100.5,4.785714285714286,33.5,6
"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",General,57.0,4.75,19.0,6
GBC Prestige Therm-A-Bind Covers,General,58.5,3.9,19.5,3
GBC ProClick 150 Presentation Binding System,General,33.0,4.4,11.0,4
GBC ProClick Punch Binding System,General,46.5,4.428571428571429,15.5,4
GBC ProClick Spines for 32-Hole Punch,General,18.0,2.4,6.0,7
GBC Recycled Grain Textured Covers,General,30.0,4.0,10.0,3
GBC Recycled Regency Composition Covers,General,39.0,4.333333333333333,13.0,3
